#,Curso Local,Sumilla Local,Curso Postulante,Sumilla Postulante,Simil. Real (%),Simil. Calculada (%),Convalidable,Eficiencia (%)
1,Fundamentos de Programacion,"Fundamentos de programacion: algoritmos, estructuras de control, funciones y arreglos",Introduccion a la Programacion,"Introduccion a la Programacion: uso de pseint, conceptos generales de programacion",82,84.92%,SÍ,97.082186966186
3,Sistemas Operativos,"Sistemas operativos: gestion de procesos, memoria y dispositivos.",Medio ambiente,Abordaremos sobre el medio ambiente y el cuidado del planeta.,60,30.36%,NO,70.35735715785239
5,Diseño de Interfaces de Usuario,Principios de diseño de interfaces de usuario y experiencia de usuario (UI/UX).,Desarrollo Web Avanzado,"Este curso cubre temas avanzados de desarrollo web, incluyendo frameworks modernos y diseño de interfaces interactivas.",75,84.96%,SÍ,90.03854018242554
7,Bases de Datos Relacionales,"Fundamentos de bases de datos relacionales, modelado de datos y SQL.",Big data y ciencia de datos,"Introduccion a la ciencia de datos, big data y analisis predictivo utilizando herramientas modernas.",78,61.10%,NO,83.10491913634952
9,Biologia Celular,"Estudio de la estructura, funcion y comportamiento de las celulas.",Historia del arte,Exploracion de las obras y movimientos artisticos a lo largo de la historia.,55,26.08%,NO,71.0800067092157
11,Matematicas Discretas,"Teoria de conjuntos, logica matematica, algebra de Boole, relaciones y funciones.",Matematicas Aplicadas,Aplicacion de las matematicas en la resolucion de problemas del mundo real.,85,74.11%,NO,89.11131616900582
13,Introduccion a la Ingenieria de Sistemas,"Conceptos fundamentales de la ingenieria de sistemas, sistemas de informacion y tecnologias de la informacion.",Fundamentos de Ingenieria Industrial,Introduccion a los principios basicos de la ingenieria industrial y su aplicacion en diferentes industrias.,77,80.04%,SÍ,96.95750193560542
15,Redes de Computadoras,"Principios basicos de las redes de computadoras, protocolos de comunicacion y tecnologias de redes.",Seguridad Informatica,Proteccion de la informacion y sistemas informaticos contra amenazas y ataques ciberneticos.,79,67.60%,NO,88.59667964560246
17,Inteligencia Artificial,"Introduccion a la inteligencia artificial, algoritmos de busqueda, aprendizaje automatico y redes neuronales.",Robotica Avanzada,Desarrollo de sistemas roboticos avanzados con enfoque en la inteligencia artificial y la interaccion humano-robot.,80,86.76%,SÍ,93.24478227614877
19,Desarrollo de Software,"Desarrollo de software: metodologias agiles, diseño orientado a objetos, patrones de diseño.",Ingenieria de Software,"Fundamentos y tecnicas avanzadas en el desarrollo de software, incluyendo metodologias agiles y practicas de ingenieria de software.",83,84.92%,SÍ,98.07702936266642
21,Arquitectura de Computadores,"Principios de arquitectura de computadores, organizacion de computadoras, diseño de CPU y memoria.",Sistemas Empotrados,"Desarrollo de sistemas empotrados y dispositivos IoT, incluyendo arquitectura de hardware y programacion de bajo nivel.",82,84.31%,SÍ,97.69470686613008
23,Estructuras de Datos,"Estructuras de datos: listas enlazadas, arboles, grafos, algoritmos de busqueda y ordenamiento.",Analisis de Algoritmos,Analisis y diseño de algoritmos eficientes para la resolucion de problemas computacionales.,79,78.49%,SÍ,99.48714483637158
25,Ingenieria de Requisitos,"Ingenieria de requisitos: elicitacion, analisis, especificacion y validacion de requisitos de software.",Gestion de Proyectos de Software,"Planificacion, ejecucion y control de proyectos de software, incluyendo gestion de recursos y riesgos.",75,86.85%,SÍ,88.14798959423071
27,Sistemas de Informacion,"Sistemas de informacion: analisis, diseño e implementacion de sistemas de informacion empresariales.",Business Intelligence,"Extraccion, transformacion y carga de datos para la generacion de informes y analisis empresarial.",81,61.85%,NO,80.84788449370582
29,Programacion Web Avanzada,"Desarrollo avanzado de aplicaciones web: frameworks MVC, APIs REST, seguridad y rendimiento.",Ingenieria Frontend,Desarrollo de interfaces de usuario interactivas utilizando tecnologias modernas de frontend.,84,70.25%,NO,86.25070993889321
31,Mineria de Datos,"Tecnicas de mineria de datos: clasificacion, clustering, asociacion y prediccion de patrones.",Inteligencia de Negocios,"Analisis de datos para la toma de decisiones empresariales, incluyendo mineria de datos y visualizacion de informacion.",77,65.35%,NO,88.35115267475655
33,Computacion Cuantica,"Introduccion a la computacion cuantica, qubits, algoritmos cuanticos y aplicaciones potenciales.",Criptografia Cuantica,"Seguridad de la informacion basada en principios cuanticos, incluyendo criptografia y comunicacion segura.",76,74.26%,NO,98.25711311552644
35,Desarrollo de Aplicaciones Moviles,"Desarrollo de aplicaciones moviles: plataformas iOS y Android, diseño de interfaces y optimizacion de rendimiento.",Computacion Ubicua,Integracion de tecnologias moviles en entornos ubicuos para la interaccion y el procesamiento de datos.,83,84.60%,SÍ,98.39850089575998
